               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10852,            0.031805,            0.039381,           0.0015987,              0.2197,           0.0014332,          0.00033705,            0.079004,            0.026492,            0.037961,              0.0892,              0.0012,              0.0012
                   1,            0.084724,            0.029683,            0.038451,            0.002523,             0.71569,           0.0078963,            0.001999,            0.066343,            0.023546,            0.035297,            0.077451,           0.0024505,           0.0024505
                   2,            0.071249,            0.030667,            0.035559,            0.040229,             0.12264,             0.04769,            0.013643,            0.057562,            0.020739,            0.032927,             0.06565,           0.0036495,           0.0036495
                   3,            0.064542,            0.026921,            0.034886,             0.69626,            0.091195,            0.047883,            0.010852,            0.060385,            0.018356,            0.034619,            0.053797,           0.0047971,           0.0047971
                   4,            0.063011,            0.026544,            0.033687,             0.10361,             0.21698,             0.13747,            0.041055,            0.064681,            0.016781,            0.035031,            0.041893,           0.0058931,           0.0058931
                   5,            0.062129,            0.023376,            0.032887,             0.13694,              0.2327,             0.18862,            0.061377,            0.054399,            0.014626,            0.032544,            0.029938,           0.0069377,           0.0069377
                   6,            0.061925,            0.021407,            0.032093,             0.44705,             0.22642,             0.19182,            0.050488,            0.052883,            0.012607,            0.031625,            0.017931,           0.0079308,           0.0079308
                   7,            0.056547,            0.019987,            0.031552,            0.081617,             0.27744,             0.11405,            0.032473,            0.063806,            0.011035,            0.030591,            0.008614,            0.008614,            0.008614
                   8,            0.056237,            0.019883,            0.032015,             0.20808,             0.59305,              0.2984,            0.088875,              0.0498,            0.010704,            0.030087,            0.008614,            0.008614,            0.008614
                   9,            0.056032,            0.019424,            0.030475,             0.12311,             0.54588,             0.18464,            0.059795,            0.055471,           0.0099058,            0.028213,            0.008416,            0.008416,            0.008416
                  10,            0.052044,            0.017456,            0.028606,             0.28663,             0.46255,             0.31223,              0.1103,            0.048751,           0.0095574,            0.026817,            0.008218,            0.008218,            0.008218
                  11,            0.048896,            0.015717,            0.026901,               0.298,             0.48185,             0.40062,             0.16347,            0.050902,           0.0091437,            0.026292,             0.00802,             0.00802,             0.00802
                  12,            0.049356,            0.015581,             0.02681,             0.37992,             0.59835,             0.47509,             0.17186,             0.04632,           0.0088201,            0.023392,            0.007822,            0.007822,            0.007822
                  13,            0.047863,            0.014765,            0.024567,             0.36737,             0.73714,             0.56979,             0.26757,            0.039071,           0.0088336,            0.024914,            0.007624,            0.007624,            0.007624
                  14,            0.046266,            0.016045,            0.024488,             0.25704,             0.60895,             0.32493,             0.12333,            0.053763,           0.0088143,            0.020873,            0.007426,            0.007426,            0.007426
                  15,            0.047205,            0.014647,            0.023302,             0.43778,             0.77205,             0.57161,             0.29646,            0.035003,           0.0086819,            0.020425,            0.007228,            0.007228,            0.007228
                  16,            0.044558,            0.015098,            0.023298,             0.46151,             0.78931,             0.61848,             0.30314,            0.037004,           0.0079168,            0.019986,             0.00703,             0.00703,             0.00703
                  17,            0.043448,             0.01397,            0.021094,             0.39397,             0.83734,             0.60015,             0.22881,            0.043182,           0.0077632,            0.018802,            0.006832,            0.006832,            0.006832
                  18,            0.043575,             0.01411,            0.020334,             0.43394,             0.82296,             0.60514,             0.27944,            0.040716,           0.0077893,            0.019824,            0.006634,            0.006634,            0.006634
                  19,             0.04388,            0.013652,            0.018165,             0.47388,             0.86965,             0.65529,             0.33078,            0.036829,           0.0072893,            0.016018,            0.006436,            0.006436,            0.006436
                  20,            0.040225,            0.013677,            0.017565,             0.51836,             0.94285,             0.74511,             0.36272,            0.038255,           0.0072016,            0.012825,            0.006238,            0.006238,            0.006238
                  21,             0.03935,            0.012882,            0.017238,             0.60019,             0.94586,             0.78787,             0.44897,            0.029416,           0.0069627,            0.013717,             0.00604,             0.00604,             0.00604
                  22,            0.037136,            0.013618,            0.017061,             0.54768,              0.9281,             0.74646,             0.40758,            0.035427,           0.0070958,            0.012356,            0.005842,            0.005842,            0.005842
                  23,            0.036728,            0.012046,             0.01505,             0.56422,             0.90723,             0.79725,             0.46856,            0.035333,           0.0070997,             0.01076,            0.005644,            0.005644,            0.005644
                  24,            0.037963,            0.012463,            0.014436,               0.648,             0.82215,             0.80673,             0.39449,             0.03481,           0.0068847,            0.011232,            0.005446,            0.005446,            0.005446
                  25,            0.038285,            0.012762,            0.012717,             0.83036,             0.79141,              0.8429,             0.46327,            0.030518,           0.0068973,            0.010617,            0.005248,            0.005248,            0.005248
                  26,            0.034558,            0.013444,            0.013909,             0.80997,             0.77659,             0.85799,             0.50457,            0.029286,           0.0068293,           0.0091681,             0.00505,             0.00505,             0.00505
                  27,            0.035599,            0.010385,             0.01306,             0.86688,             0.79989,             0.87389,             0.52029,            0.028158,           0.0065138,           0.0082704,            0.004852,            0.004852,            0.004852
                  28,            0.035153,            0.012354,             0.01316,             0.86074,             0.82735,             0.90849,             0.55092,            0.029597,            0.006354,           0.0084338,            0.004654,            0.004654,            0.004654
                  29,            0.036147,            0.012591,            0.011139,             0.89847,              0.8017,             0.88137,             0.46112,            0.033077,           0.0063489,           0.0074323,            0.004456,            0.004456,            0.004456
                  30,            0.034929,            0.011516,           0.0097452,             0.93797,             0.82828,             0.93891,             0.59808,            0.026066,            0.006395,           0.0069472,            0.004258,            0.004258,            0.004258
                  31,            0.033753,            0.011915,            0.010262,                0.95,             0.86956,             0.95592,             0.61431,            0.026657,             0.00615,           0.0065033,             0.00406,             0.00406,             0.00406
                  32,            0.033686,            0.011003,            0.010369,             0.94268,             0.91362,             0.96877,             0.64212,            0.024364,           0.0061449,           0.0058051,            0.003862,            0.003862,            0.003862
                  33,            0.033292,            0.010767,           0.0091081,              0.9087,              0.8806,             0.92679,              0.5341,            0.029245,           0.0062963,           0.0067145,            0.003664,            0.003664,            0.003664
                  34,            0.032119,            0.011855,           0.0077694,             0.94925,             0.87749,             0.97527,             0.63697,             0.02413,           0.0060507,           0.0054285,            0.003466,            0.003466,            0.003466
                  35,            0.032714,            0.011962,           0.0079167,             0.91859,             0.92063,             0.98821,             0.64892,            0.023691,           0.0060038,           0.0049491,            0.003268,            0.003268,            0.003268
                  36,            0.032253,            0.011318,            0.006377,             0.93366,             0.92838,             0.98874,              0.6183,            0.025636,           0.0060517,           0.0045229,             0.00307,             0.00307,             0.00307
                  37,            0.030644,            0.011035,           0.0077319,             0.91217,             0.96155,             0.98552,             0.65739,            0.023577,           0.0059708,           0.0045441,            0.002872,            0.002872,            0.002872
                  38,            0.030747,            0.011238,           0.0067646,             0.94061,             0.98299,             0.99099,             0.68017,            0.022423,           0.0058898,           0.0041446,            0.002674,            0.002674,            0.002674
                  39,            0.030031,            0.010138,           0.0059617,             0.97574,             0.97412,             0.99475,             0.67937,            0.025101,           0.0059846,           0.0033709,            0.002476,            0.002476,            0.002476
                  40,            0.029398,             0.01071,           0.0047794,             0.97129,             0.97905,             0.99494,             0.67299,            0.023014,           0.0058665,           0.0030119,            0.002278,            0.002278,            0.002278
                  41,             0.02787,            0.010906,           0.0057213,             0.98673,                   1,               0.995,             0.67193,            0.022969,           0.0056895,           0.0027093,             0.00208,             0.00208,             0.00208
                  42,            0.027976,            0.010968,           0.0057167,             0.98846,             0.99981,               0.995,             0.71622,            0.021511,            0.005556,           0.0024809,            0.001882,            0.001882,            0.001882
                  43,            0.026769,           0.0097662,           0.0059962,             0.98211,             0.98952,             0.99456,             0.71182,            0.020968,           0.0055316,           0.0024429,            0.001684,            0.001684,            0.001684
                  44,            0.026979,            0.011495,           0.0052136,             0.97504,             0.99242,             0.99441,             0.72206,            0.021359,           0.0055029,           0.0021959,            0.001486,            0.001486,            0.001486
                  45,            0.027446,             0.01092,             0.00572,             0.98636,             0.99597,             0.99485,              0.7191,            0.019927,           0.0054653,           0.0018797,            0.001288,            0.001288,            0.001288
                  46,            0.026247,            0.010406,           0.0047523,             0.97973,                   1,             0.99456,              0.7309,            0.020489,           0.0054468,           0.0017061,             0.00109,             0.00109,             0.00109
                  47,            0.025486,             0.01064,           0.0051134,             0.97498,              0.9953,              0.9947,             0.73795,            0.019743,           0.0053537,           0.0015864,            0.000892,            0.000892,            0.000892
                  48,            0.024119,            0.010773,           0.0042971,             0.97949,             0.98644,              0.9947,              0.7431,            0.018693,           0.0052983,           0.0015237,            0.000694,            0.000694,            0.000694
                  49,            0.026544,            0.010336,           0.0048695,             0.98033,             0.98624,             0.99464,             0.75974,            0.018054,           0.0052777,           0.0015036,            0.000496,            0.000496,            0.000496
